name,category,date,amount_liters,created_at
Suco de uva adoçado,SUCO,1971-12-21,-,2025-01-04 06:01:45.697377
Suco de uva orgânico,SUCO,1971-12-21,-,2025-01-04 06:01:45.876240
Suco de uva reconstituído,SUCO,1971-12-21,-,2025-01-04 06:01:45.905835
DERIVADOS,DERIVADOS,1971-12-21,13.280.518,2025-01-04 06:01:45.997422
Espumante,DERIVADOS,1971-12-21,-,2025-01-04 06:01:46.029363
Espumante moscatel,DERIVADOS,1971-12-21,-,2025-01-04 06:01:46.060967
Base espumante,DERIVADOS,1971-12-21,-,2025-01-04 06:01:46.263718
Base espumante moscatel,DERIVADOS,1971-12-21,-,2025-01-04 06:01:46.350395
Base Champenoise champanha,DERIVADOS,1971-12-21,-,2025-01-04 06:01:46.506983
Base Charmat champanha,DERIVADOS,1971-12-21,-,2025-01-04 06:01:46.536736
Bebida de uva,DERIVADOS,1971-12-21,-,2025-01-04 06:01:46.563049
Polpa de uva,DERIVADOS,1971-12-21,-,2025-01-04 06:01:46.629743
Mosto simples,DERIVADOS,1971-12-21,7.646.774,2025-01-04 06:01:46.654430
Mosto concentrado,DERIVADOS,1971-12-21,-,2025-01-04 06:01:46.702661
Mosto de uva com bagaço,DERIVADOS,1971-12-21,-,2025-01-04 06:01:46.729798
Mosto dessulfitado,DERIVADOS,1971-12-21,-,2025-01-04 06:01:46.757398
Mistelas,DERIVADOS,1971-12-21,818.400,2025-01-04 06:01:46.825476
Néctar de uva,DERIVADOS,1971-12-21,-,2025-01-04 06:01:46.851555
Licorosos,DERIVADOS,1971-12-21,270.000,2025-01-04 06:01:46.879895
Compostos,DERIVADOS,1971-12-21,45.000,2025-01-04 06:01:46.906832
Jeropiga,DERIVADOS,1971-12-21,-,2025-01-04 06:01:46.933491
Filtrado,DERIVADOS,1971-12-21,-,2025-01-04 06:01:47.081024
Frisante,DERIVADOS,1971-12-21,-,2025-01-04 06:01:47.120623
Vinho leve,DERIVADOS,1971-12-21,-,2025-01-04 06:01:47.159034
Vinho licoroso,DERIVADOS,1971-12-21,-,2025-01-04 06:01:47.213605
Brandy,DERIVADOS,1971-12-21,-,2025-01-04 06:01:47.266368
Destilado,DERIVADOS,1971-12-21,-,2025-01-04 06:01:47.320949
Bagaceira,DERIVADOS,1971-12-21,913.200,2025-01-04 06:01:47.351815
Licor de bagaceira,DERIVADOS,1971-12-21,-,2025-01-04 06:01:47.381954
Vinagre,DERIVADOS,1971-12-21,21.500,2025-01-04 06:01:47.409861
Borra líquida,DERIVADOS,1971-12-21,3.565.644,2025-01-04 06:01:47.434295
Borra seca,DERIVADOS,1971-12-21,-,2025-01-04 06:01:47.459235
Vinho Composto,DERIVADOS,1971-12-21,-,2025-01-04 06:01:47.484821
Pisco,DERIVADOS,1971-12-21,-,2025-01-04 06:01:47.510581
Vinho orgânico,DERIVADOS,1971-12-21,-,2025-01-04 06:01:47.659786
Espumante orgânico,DERIVADOS,1971-12-21,-,2025-01-04 06:01:47.686850
Destilado alcoólico simples de bagaceira,DERIVADOS,1971-12-21,-,2025-01-04 06:01:47.715027
Vinho acidificado,DERIVADOS,1971-12-21,-,2025-01-04 06:01:47.741278
Mosto parcialmente fermentado,DERIVADOS,1971-12-21,-,2025-01-04 06:01:47.770849
Outros derivados,DERIVADOS,1971-12-21,-,2025-01-04 06:01:47.797239
Total,Total,1971-12-21,193.427.885,2025-01-04 06:01:47.823036
VINHO DE MESA,VINHO DE MESA,1972-12-21,146.953.297,2025-01-04 06:01:52.030693
Tinto,VINHO DE MESA,1972-12-21,118.180.926,2025-01-04 06:01:52.065975
Branco,VINHO DE MESA,1972-12-21,1.812.367,2025-01-04 06:01:52.118744
Rosado,VINHO DE MESA,1972-12-21,26.960.004,2025-01-04 06:01:52.151503
VINHO FINO DE MESA (VINIFERA),VINHO FINO DE MESA (VINIFERA),1972-12-21,21.078.771,2025-01-04 06:01:52.189706
Tinto,VINHO FINO DE MESA (VINIFERA),1972-12-21,6.782.837,2025-01-04 06:01:52.220049
Branco,VINHO FINO DE MESA (VINIFERA),1972-12-21,13.289.304,2025-01-04 06:01:52.251151
Rosado,VINHO FINO DE MESA (VINIFERA),1972-12-21,1.006.630,2025-01-04 06:01:52.288433
SUCO,SUCO,1972-12-21,3.509.440,2025-01-04 06:01:52.331360
Suco de uva integral,SUCO,1972-12-21,3.509.440,2025-01-04 06:01:52.362764
Suco de uva concentrado,SUCO,1972-12-21,-,2025-01-04 06:01:52.393868
Suco de uva adoçado,SUCO,1972-12-21,-,2025-01-04 06:01:52.421657
Suco de uva orgânico,SUCO,1972-12-21,-,2025-01-04 06:01:52.450084
Suco de uva reconstituído,SUCO,1972-12-21,-,2025-01-04 06:01:52.478100
DERIVADOS,DERIVADOS,1972-12-21,12.314.509,2025-01-04 06:01:52.509495
Espumante,DERIVADOS,1972-12-21,-,2025-01-04 06:01:52.536598
Espumante moscatel,DERIVADOS,1972-12-21,-,2025-01-04 06:01:52.564564
Base espumante,DERIVADOS,1972-12-21,-,2025-01-04 06:01:52.592386
Base espumante moscatel,DERIVADOS,1972-12-21,-,2025-01-04 06:01:52.620861
Base Champenoise champanha,DERIVADOS,1972-12-21,-,2025-01-04 06:01:52.648486
Base Charmat champanha,DERIVADOS,1972-12-21,-,2025-01-04 06:01:52.674702
Bebida de uva,DERIVADOS,1972-12-21,-,2025-01-04 06:01:52.755090
Polpa de uva,DERIVADOS,1972-12-21,-,2025-01-04 06:01:52.821791
Mosto simples,DERIVADOS,1972-12-21,6.051.822,2025-01-04 06:01:52.849751
Mosto concentrado,DERIVADOS,1972-12-21,-,2025-01-04 06:01:52.980831
Mosto de uva com bagaço,DERIVADOS,1972-12-21,-,2025-01-04 06:01:53.165656
Mosto dessulfitado,DERIVADOS,1972-12-21,-,2025-01-04 06:01:53.584268
Mistelas,DERIVADOS,1972-12-21,871.200,2025-01-04 06:01:53.702927
Néctar de uva,DERIVADOS,1972-12-21,-,2025-01-04 06:01:53.766478
Licorosos,DERIVADOS,1972-12-21,254.600,2025-01-04 06:01:53.864138
Compostos,DERIVADOS,1972-12-21,1.358.300,2025-01-04 06:01:53.914616
Jeropiga,DERIVADOS,1972-12-21,-,2025-01-04 06:01:53.944073
Filtrado,DERIVADOS,1972-12-21,-,2025-01-04 06:01:54.025288
Frisante,DERIVADOS,1972-12-21,-,2025-01-04 06:01:54.154032
Vinho leve,DERIVADOS,1972-12-21,-,2025-01-04 06:01:54.242510
